timestamp,server_label,players,max_players,bots,map,online
2026-08-03T16:25:37,COSMOS,,,,,0
2026-08-03T18:14:07,AETHER,,,,,0
2026-08-03T18:14:07,AETHER_EVENT,7,64,0,rp_venator_notorious,1
2026-08-03T18:14:07,NEXUS,11,64,0,rp_nexus_base_tropical_v1,1
2026-08-03T18:14:07,AXIOM,,,,,0
2026-08-03T18:14:07,COSMOS,,,,,0
2026-08-03T19:58:12,AETHER,,,,,0
2026-08-03T19:58:12,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-03T19:58:12,NEXUS,,,,,0
2026-08-03T19:58:12,AXIOM,,,,,0
2026-08-03T19:58:12,COSMOS,,,,,0
2026-08-03T20:58:46,AETHER,,,,,0
2026-08-03T20:58:46,AETHER_EVENT,2,64,0,rp_venator_notorious,1
2026-08-03T20:58:46,NEXUS,5,64,0,rp_nexus_base_tropical_v1,1
2026-08-03T20:58:46,AXIOM,,,,,0
2026-08-03T20:58:46,COSMOS,,,,,0
2026-08-03T22:05:33,AETHER,,,,,0
2026-08-03T22:05:33,AETHER_EVENT,2,64,0,rp_venator_notorious,1
2026-08-03T22:05:33,NEXUS,1,64,0,rp_nexus_base_tropical_v1,1
2026-08-03T22:05:33,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-03T22:05:33,COSMOS,,,,,0
2026-08-03T23:14:18,AETHER,,,,,0
2026-08-03T23:14:18,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-03T23:14:18,NEXUS,1,64,0,rp_nexus_base_tropical_v1,1
2026-08-03T23:14:18,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-03T23:14:18,COSMOS,,,,,0
2026-08-04T00:15:59,AETHER,,,,,0
2026-08-04T00:15:59,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T00:15:59,NEXUS,0,64,0,rp_nexus_base_tropical_v1,1
2026-08-04T00:15:59,AXIOM,0,64,0,rp_axiom_battleground,1
2026-08-04T00:15:59,COSMOS,,,,,0
2026-08-04T03:38:33,AETHER,,,,,0
2026-08-04T03:38:33,AETHER_EVENT,0,64,0,rp_venator_notorious,1
2026-08-04T03:38:33,NEXUS,0,64,0,rp_nexus_base_tropical_v1,1
2026-08-04T03:38:33,AXIOM,,,,,0
2026-08-04T03:38:33,COSMOS,,,,,0
2026-08-04T06:14:08,AETHER,,,,,0
2026-08-04T06:14:08,AETHER_EVENT,0,64,0,rp_venator_notorious,1
